cell_line,method,recall_at_50,seed
CL1,Baseline,0.2882026172983832,1
CL1,MetricBlend,0.35020733354939987,1
CL2,Baseline,0.24893689920528697,1
CL2,MetricBlend,0.36616369518133074,1
CL3,Baseline,0.2933778995074984,1
CL3,MetricBlend,0.31405956311120603,1
CL4,Baseline,0.2475044208762795,1
CL4,MetricBlend,0.29296370462734855,1
CL5,Baseline,0.19483905741032212,1
CL5,MetricBlend,0.25715701246847333,1
CL6,Baseline,0.2072021785580439,1
CL6,MetricBlend,0.30083038376693316,1
CL7,Baseline,0.2380518862573497,1
CL7,MetricBlend,0.2917021367521345,1
CL8,Baseline,0.2221931616372713,1
CL8,MetricBlend,0.2822033914584993,1
CL1,Baseline,0.2747039536578803,2
CL1,MetricBlend,0.31854920574490625,2
CL2,Baseline,0.21565338508254508,2
CL2,MetricBlend,0.24003051290349336,2
CL3,Baseline,0.07235050920829608,2
CL3,MetricBlend,0.1419590670715069,2
CL4,Baseline,0.2432218099429753,2
CL4,MetricBlend,0.27095685933078206,2
CL5,Baseline,0.3134877311993804,2
CL5,MetricBlend,0.31985676096141746,2
CL6,Baseline,0.20228792586507233,2
CL6,MetricBlend,0.2466724103642973,2
CL7,Baseline,0.2766389607179229,2
CL7,MetricBlend,0.3707197238149314,2
CL8,Baseline,0.20774737128484583,2
CL8,MetricBlend,0.269092246872911,2
CL1,Baseline,0.15561071261849438,3
CL1,MetricBlend,0.1461868185717766,3
CL2,Baseline,0.18260439253369237,3
CL2,MetricBlend,0.23729486160681176,3
CL3,Baseline,0.261514534036386,3
CL3,MetricBlend,0.34758592949991834,3
CL4,Baseline,0.1806336591296024,3
CL4,MetricBlend,0.2215645766123423,3
CL5,Baseline,0.14757235174664537,3
CL5,MetricBlend,0.15497181363127613,3
CL6,Baseline,0.11468649046874937,3
CL6,MetricBlend,0.2232097523257031,3
CL7,Baseline,0.17451739091241733,3
CL7,MetricBlend,0.21137516186408176,3
CL8,Baseline,0.1373602319975037,3
CL8,MetricBlend,0.210684942672461,3
